pillar,themes,mg_code,macro_goal,direction,baseline,target_2030,target_2047,sort_order,target_2030_to_baseline_gap,target_2047_to_baseline_gap,status_against_target_2030,status_against_target_2047
Empowered Citizen - Living Well,Healthcare and Nutrition for all,HM3,Infant Mortality Rate (per 1000 live births),DOWN,23,8,2,1,1.875,10.5,Critical (gap > 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,Gujarat as Tourism Hub,GTHM1,Share of international tourist visits out of total footfall in the state,UP,1.32,5,8,5,0.736,0.835,At Risk (gap ≤ 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM5,Yield of Fruits (MT/ha),UP,18.8,20,25.1,6,0.06,0.250996016,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Empowered Citizen - Living Well,Healthcare and Nutrition for all,HM2,Maternal Mortality Ratio (per lakh live births),DOWN,57,40,5,7,0.425,10.4,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Healthcare and Nutrition for all,HM4,Out-of-Pocket Expenditure (as % of Total Health Expenditure),DOWN,40.8,15,8,8,1.72,4.1,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Healthcare and Nutrition for all,HM7,No. of Ayush Professionals,UP,50000,100000,250000,9,0.5,0.8,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM1,GER (secondary) - Male In %,UP,75,85,100,10,0.117647059,0.25,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM2,GER (secondary) - Female In %,UP,73,85,100,11,0.141176471,0.27,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Empowered Citizen - Living Well,Healthcare and Nutrition for all,HM1,Life expectancy (years),UP,70.5,77,84,12,0.084415584,0.160714286,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM7,Higher Education - GER (tertiary),UP,22,40,65,13,0.45,0.661538462,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM8,Higher Education - GER (tertiary) - ST,UP,18,40,65,14,0.55,0.723076923,At Risk (gap ≤ 75%),At Risk (gap ≤ 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM9,Gender Parity Index,UP,0.87,1,1,15,0.13,0.13,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM1,Yield of Cereal crops (MT/ha),UP,2.7,2.9,3,16,0.068965517,0.1,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM2,Yield of Pulses crops (MT/ha),UP,1.4,1.4,1.5,17,0,0.066666667,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM3,Yield of Foodgrains (MT/ha),UP,2.3,2.5,2.6,18,0.08,0.115384615,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM6,Yield of Vegetables (MT/ha),UP,20.08,22.7,25.1,19,0.115418502,0.2,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM8,Yield of Floriculture (MT/ha),UP,9.5,10.3,11.4,20,0.077669903,0.166666667,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM10,Area under irrigation (Net irrigated/Net Sown Area),UP,59,60.5,65,21,0.024793388,0.092307692,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM12,Share of Canal irrigation (including tanks),UP,31.8,38.85,60,22,0.181467181,0.47,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM21,Ratio of Milk Procurement under organized sector over milk total production,UP,52,58,70,24,0.103448276,0.257142857,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM22,Per capita Milk availability (gm/person/day),UP,656,770,1000,25,0.148051948,0.344,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM23,Per capita egg availability (Number/person/Annum),UP,28,30,35,26,0.066666667,0.2,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM38,Internet Subscribers per 100 population (for Rural),UP,43.7,90,100,27,0.514444444,0.563,At Risk (gap ≤ 75%),At Risk (gap ≤ 75%)
Empowered Citizen - Living Well,Art Culture and Sports,ACSM1,Number of UN recognized global tangible and intangible heritage,UP,5,10,20,28,0.5,0.75,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM4,% of seats held by women in state legislation,UP,8,16,40,29,0.5,0.8,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM10,Average number of enrollments per institution,UP,526,769.5,1500,31,0.316439246,0.649333333,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM36,Percentage surfaced rural roads,UP,87.1,92,100,33,0.05326087,0.129,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,Transport and Logistics Infrastructure,TLIM1,Total state highway length (km),UP,16746,19537,27910,34,0.142857143,0.4,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM7,% Gross enrolment ratio (elementary),UP,94,100,100,35,0.06,0.06,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM8,% Gross enrolment ratio (secondary),UP,73,85,100,36,0.141176471,0.27,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM9,Gap between male and female literacy levels,DOWN,14,6,0,37,1.333333333,1399,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM3,Literacy rate In %,UP,78,90,100,38,0.133333333,0.22,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM4,% schools with pupil teacher ratio< 30,UP,65,80,100,39,0.1875,0.35,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM5,Dropout rates – upper primary In %,DOWN,1.5,0,0,40,149,149,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM6,Dropout rates – secondary In %,DOWN,5,0,0,41,499,499,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM5,% Female Labor Force Participation Rate (LFPR),UP,42,50,75,42,0.16,0.44,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Empowered Citizen - Living Well,Art Culture and Sports,ACSM6,Number of Centers of Excellence for sports,UP,1,5,10,43,0.8,0.9,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Art Culture and Sports,ACSM7,Host of a major tournament,UP,0,0,1,44,0,0.99,On Track (gap ≤ 25%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM11,Area under micro irrigation (per unit Gross Sown Area),UP,16.4,23,36,45,0.286956522,0.544444444,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM13,Share of ultimate irrigation potential created,UP,97.6,98.2,100,46,0.00610998,0.024,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM15,Share of land for Horticulture/Gross Sown Area,UP,13.7,16,20,47,0.14375,0.315,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM19,Average cattle productivity (kg/animal/year),UP,2200,2300,2800,49,0.043478261,0.214285714,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM20,Ratio of milk processing capacity over total milk production,UP,69,72,85,50,0.041666667,0.188235294,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM29,Share of women having a bank or savings account that they themselves use,UP,67.5,87,100,51,0.224137931,0.325,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM30,Households with any usual member covered under a health insurance/financing scheme,UP,41.1,65,90,52,0.367692308,0.543333333,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM31,Self Help Groups with Credit (bank) linkage,UP,15,60,100,53,0.75,0.85,At Risk (gap ≤ 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM33,Infant Mortality Ratio (for Rural),DOWN,27,8,2,54,2.375,12.5,Critical (gap > 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM34,Households using clean fuel as primary source of energy for cooking (for Rural),UP,58.2,80,98,55,0.2725,0.406122449,Slightly Off Track (gap ≤ 50%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM35,Population living in households that use an improved sanitation facility (for Rural),UP,63.3,99,100,56,0.360606061,0.367,Slightly Off Track (gap ≤ 50%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM39,Rural Drinking water supply per capita (LPCD),UP,70,100,100,57,0.3,0.3,Slightly Off Track (gap ≤ 50%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM4,Yield of Oilseeds (MT/ha),UP,2.3,2.4,2.4,58,0.041666667,0.041666667,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM40,Share of villages covered by surface based Multi Village Scheme (MVS),UP,80,100,100,59,0.2,0.2,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",AIRM7,Yield of Spices (MT/ha),UP,1.86,1.9,2.2,60,0.021052632,0.154545455,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,CAM1,Percentage of households having access to piped drinking water - all cities,UP,86,100,100,61,0.14,0.14,On Track (gap ≤ 25%),On Track (gap ≤ 25%)
Key Enablers,City Agglomerations: Vibrant Socio-Economic Epicenters,CAM4,Average AQI across all major cities,DOWN,111,80,50,62,0.3875,1.22,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Human Capital: Education and Skilling,ESM11,% of patents filed in India,UP,1.6,2.45,5,63,0.346938776,0.68,Slightly Off Track (gap ≤ 50%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,Gujarat as Tourism Hub,GTHM4,Ranking in number of domestic tourists in India,DOWN,5,3,3,64,0.666666667,0.666666667,At Risk (gap ≤ 75%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,Gujarat as Tourism Hub,GTHM5,Ranking in number of foreign tourists in India,DOWN,1,10,3,65,0.9,0.666666667,Critical (gap > 75%),At Risk (gap ≤ 75%)
Thriving Economy - Earning Well,Gujarat as Tourism Hub,GTHM7,Average annual footfall for Top 5 tourism spots,UP,7.5,12.5,45,66,0.4,0.833333333,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Healthcare and Nutrition for all,HM5,Doctors per 10000 population,UP,12,15,30,67,0.2,0.6,On Track (gap ≤ 25%),At Risk (gap ≤ 75%)
Empowered Citizen - Living Well,Healthcare and Nutrition for all,HM6,Nurses and midwives per 10000,UP,15,40,100,68,0.625,0.85,At Risk (gap ≤ 75%),Critical (gap > 75%)
Thriving Economy - Earning Well,Industries of the Future,INM2,"Growth in value of goods exported ($, nominal)",UP,250,500,3750,70,0.5,0.933333333,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM2,% women age 15-49 years who are anaemic,DOWN,65,45,5,72,0.444444444,12,Slightly Off Track (gap ≤ 50%),Critical (gap > 75%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM3,"Number of crimes against women per 1,00,000 population",DOWN,22,0,0,73,2199,2199,Critical (gap > 75%),Critical (gap > 75%)
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,NSM6,% Women with an operating bank or savings account,UP,70,90,100,74,0.222222222,0.3,On Track (gap ≤ 25%),Slightly Off Track (gap ≤ 50%)
Thriving Economy - Earning Well,Services of the Future,SEM1,Contribution to India's Services GVA (%),UP,6.2,8,15,75,0.225,0.586666667,On Track (gap ≤ 25%),At Risk (gap ≤ 75%)
